题目名称,完成状态,算法类型,解题思路,解题日期,难度,题目链接
27.移除元素,已完成,"数据结构, 数组",在不是额外空间的前提下，在原本数组上使用快慢指针，当快指针指向的值不等于目标值时，让慢指针所指值等于快指针所致值，实现覆写操作。,2025年9月3日,简单,https://leetcode.cn/problems/remove-element/description/
704.二分查找,已完成,"数据结构, 数组","注意是使用左闭右开还是左闭右闭。如果是使用[left,right]，则循环条件为left ≤ right，right = middle - 1;",2025年9月1日,简单,https://leetcode.cn/problems/binary-search/description/
977. 有序数组的平方,已完成,"数据结构, 数组",可以暴力，先加入新数组然后排序；也可以使用双指针从数组两侧开推元素的平方,2025年9月4日,简单,https://leetcode.cn/problems/squares-of-a-sorted-array/description/
209.长度最小的子数组,已完成,"数据结构, 数组",滑动窗口，不断调整起始点和终止点；前缀和+二分查找,2025年9月5日,中等,https://leetcode.cn/problems/minimum-size-subarray-sum/description/
59.螺旋矩阵 II,已完成,"数据结构, 数组",模拟，将矩阵分层，用left与right，top与bottom，一层一层填充；或者分四个方向按照顺时针填充,2025年9月6日,中等,https://leetcode.cn/problems/spiral-matrix-ii/description/
58.区间和（卡码网）,已完成,"数据结构, 数组",前缀和,2025年9月7日,简单,https://kamacoder.com/problempage.php?pid=1070
44.开发商购买土地（卡码网）,已完成,"数据结构, 数组",前缀和,2025年9月8日,简单,https://kamacoder.com/problempage.php?pid=1044
203.移除链表元素,已完成,"数据结构, 链表",链表,2025年9月9日,简单,https://leetcode.cn/problems/remove-linked-list-elements/description/
707.设计链表,已完成,"数据结构, 链表",链表,2025年9月9日,简单,https://leetcode.cn/problems/design-linked-list/description/
206.反转链表,已完成,"数据结构, 链表",反转链表，使用双指针pre和cur来进行结点的反转，并且配合tmp保存cur结点,2025年9月10日,简单,https://leetcode.cn/problems/reverse-linked-list/description/
24.两两交换链表中的结点,已完成,"数据结构, 链表",使用虚拟头结点，然后使用两个临时变量进行两个相邻结点的反转,2025年9月10日,中等,https://leetcode.cn/problems/swap-nodes-in-pairs/submissions/661460933/
19.删除链表的倒数第N个结点,已完成,"数学方法, 数据结构, 链表",使用虚拟头结点，快慢双指针，并且使快慢双指针中间隔了N个结点，两个同时移动至快指针指向nullptr，此时删除慢指针的下一个结点,2025年9月11日,中等,https://leetcode.cn/problems/remove-nth-node-from-end-of-list/submissions/661673217/
面试题02.07.链表相交,已完成,"数学方法, 数据结构, 链表",使用双指针，分别指向两个链表头，两个指针同时更新，如果走到NULL还没相交就使该指针转向另一个链表头，如果相交前的链表长度不同，假设两个链表相交前的长度分别为a和b，相交点后的长度为c，两个结点都会走a+b+c步后相交，即使两个链表不相交，也会都走a+c+b+c后都指向null,2025年9月11日,简单,https://leetcode.cn/problems/intersection-of-two-linked-lists-lcci/submissions/661678444/
